Global Company Key,Data Date,Data Year - Fiscal,Ticker Symbol,CUSIP,Company Name,Fiscal Year-end Month,Current Assets - Total,Assets - Total,Book Value Per Share,Cash,Cost of Goods Sold,Common Shares Outstanding,Debt in Current Liabilities - Total,Long-Term Debt - Total,Dividends - Total,Earnings Before Interest and Taxes,Employees,Gross Profit (Loss),Invested Capital - Total,Inventories - Total,Current Liabilities - Total,Liabilities - Total,Net Income (Loss),"Property, Plant and Equipment - Total (Gross)",Retained Earnings,Receivables - Total,Sales/Turnover (Net),Stockholders Equity - Parent,Interest and Related Expense - Total,Market Value - Total - Fiscal,Price Close - Annual - Fiscal,Standard Industry Classification Code
1913,20191231,2019,AVY,53611109,AVERY DENNISON CORP,12,2340.6,5488.8,14.4422,253.7,4991.4,83.367,481.6,1598.2,189.7,823.7,30,2078.7,2802.2,663,2253.8,4284.8,303.6,3309.7,2631,1212.2,7070.1,1204,81.1,10906.0709,130.82,2670
1919,20190630,2019,AVT,53807103,AVNET INC,6,6876.336,8564.556,39.7977,546.105,16851.648,104.038,300.538,1419.922,87.158,611.451,15.5,2666.944,5560.395,3008.424,2578.576,4424.083,176.337,1338.233,2463.43,3168.369,19518.592,4140.473,134.874,4709.8003,45.27,5065
1979,20191231,2019,BCPC,57665200,BALCHEM CORP  -CL B,12,254.946,1155.682,23.0938,65.672,409.902,32.202,2.475,253.396,16.777,104.288,1.424,233.803,997.063,83.893,92.258,412.015,79.671,350.679,585.357,93.444,643.705,743.667,5.959,3272.6893,101.63,2834
1988,20191231,2019,BLL,58498106,BALL CORP,12,4884,17360,9.084,1798,9203,324.635,1538,6518,181,1176,18.3,2271,9537,1274,5577,14341,566,7772,4893,1631,11474,2949,317,20994.1455,64.67,3411
2002,20191231,2019,BPOP,733174700,POPULAR INC,12,,52115.324,62.4189,388.311,534.878,95.59,333.298,1146.637,119.745,1457.182,8.56,2295.798,7163.416,181.275,,46098.545,671.135,,1977.977,26929.165,2830.676,6016.779,,5615.9125,58.75,6020
2019,20191231,2019,BK,64058100,BANK OF NEW YORK MELLON CORP,12,,381508,42.1247,4830,4335,900.683,19959,25273,1289,7730,48.4,15672,67001,3,,339780,4441,,29256,54831,20007,41483,,45331.3754,50.33,6020
2086,20191231,2019,BAX,71813109,BAXTER INTERNATIONAL INC,12,7503,18193,15.5723,3335,5657,506.155,642,5319,435,1937,50,5705,13231,1653,3230,10281,1001,11268,12008,1896,11362,7882,120,42324.6811,83.62,2834
2111,20190930,2019,BDX,75887109,BECTON DICKINSON & CO,9,6664,51765,68.8023,536,6872,270.427,1309,18081,983,2894,70.093,10418,39162,2579,5655,30684,1233,11128,10630,2346,17290,21081,683,68407.2139,252.96,3841
2136,20191231,2019,VZ,92343V104,VERIZON COMMUNICATIONS INC,12,37473,291727,14.8447,2594,54726,4135.828,14038,119105,10070,30303,135,77142,181940,1422,44868,228892,19265,288428,54145,26277,131868,61395,5386,253939.8392,61.4,4812
2176,20191231,2019,BRK.B,84670702,BERKSHIRE HATHAWAY,12,,817729,174.2777,64175,211678,2437.437,10420,98830,0,105481,391.539,115545,527393,19852,,389166,81417,248841,397250,53362,327223,424791,3961,551977.353,226.5,9997
2184,20190131,2018,BBY,86516101,BEST BUY CO INC,1,8870,12901,12.4425,1980,32148,265.703,56,1332,497,1966,125,10731,4638,5409,7513,9595,1464,9200,3279,1015,42879,3306,73,15740.2457,59.24,5731
2269,20190430,2018,HRB,93671105,BLOCK H & R INC,4,1993.359,3299.945,2.6814,1572.15,1590.227,201.96,0,1492.629,205.461,615.792,86.1,1504.654,2034.156,0,923.001,2758.418,422.509,957.853,478.97,138.965,3094.881,541.527,87.051,5495.3316,27.21,7200
2285,20191231,2019,BA,97023105,BOEING CO,12,102229,133625,-15.308,9485,69840,562.909,7592,20940,4628,5952,161.1,14978,12640,76622,97312,141925,-636,33026,34491,12471,84818,-8617,867,183373.2358,325.76,3721
2312,20191231,2019,RHI,770323103,ROBERT HALF INTL INC,12,1628.849,2311.408,9.9347,270.478,3479.649,115.12,71.626,202.2,145.726,620.39,221.6,2594.783,1345.883,0,940.692,1167.725,454.433,936.037,16.081,832.797,6074.432,1143.683,,7269.828,63.15,7363
2390,20191031,2019,BRID,108763103,BRIDGFORD FOODS CORP,10,52.768,123.456,7.3253,3.478,122.968,9.076,2.038,12.164,0,8.827,0.564,65.817,78.648,26.367,19.94,56.972,6.484,108.361,49.052,21.875,188.785,66.484,,223.9049,24.67,2013
2403,20191231,2019,BMY,110122108,BRISTOL-MYERS SQUIBB CO,12,29354,129944,22.9223,12346,6670,2251,3479,44059,3035,6738,30,19475,95757,4293,18304,78246,3439,10911,32954,7685,26145,51598,656,144491.69,64.19,2834
2435,20190430,2018,BF.B,115637209,BROWN FORMAN CORP,4,2719,5139,3.4516,307,1086,477.172,150,2290,310,1129,4.7,2238,3937,1520,703,3492,835,1525,1875,609,3324,1647,88,25261.1869,53.29,2085
2547,20191231,2019,CI,125523100,CIGNA CORP,12,29845,155774,121.7026,4619,127819,372.531,5680,32358,15,9020,73.7,25880,77737,2661,40138,110395,5104,9457,19221,10938,153699,45338,1600,76178.8642,204.49,6324
2574,20191231,2019,CSX,126408103,CSX CORP,12,3278,38257,15.318,958,5714,773.471,302,16486,763,4874,20.908,6223,28349,261,2151,26394,3331,45632,10729,986,11937,11848,737,55968.3616,72.36,4011
2663,20190731,2019,CPB,134429109,CAMPBELL SOUP CO,7,1967,13148,3.6645,31,5081,301,1371,7103,425,1192,19,3026,8215,863,3385,12036,211,5215,1795,574,8107,1103,359,12443.34,41.34,2030
2710,20190228,2018,STZ,21036P108,CONSTELLATION BRANDS,2,3684,29231.5,66.0131,93.6,3695.3,190.129,1856.7,11759.8,558.9,2549.2,9.8,4420.7,24597,2130.4,3163.8,16394.3,3435.9,6972.5,13922.3,1267.9,8116,12551,379.1,32211.5627,169.16,2082
2751,20190630,2019,CAH,14149Y108,CARDINAL HEALTH INC,6,25747,40963,21.1639,2531,138260,299,452,7579,575,1678,49.5,7274,13909,12822,24109,34633,1363,5168,5355,8460,145534,6328,294,14082.9,47.1,5122
2807,20190430,2018,CASY,147528103,CASEYS GENERAL STORES INC,4,410.58,3731.376,38.4227,63.296,6410.186,36.665,92.205,1283.275,42.471,319.058,36.841,1954.724,2692.044,273.04,590.932,2322.607,203.886,4937.562,1393.169,66.751,8364.91,1408.769,59.308,4852.6128,132.35,5412
2817,20191231,2019,CAT,149123101,CATERPILLAR INC,12,39193,78453,26.5196,8284,34744,550.083,11549,26742,2210,9624,102.3,19056,41371,11266,26621,63824,6093,29841,32870,17904,53800,14588,1175,81236.2574,147.68,3531
2820,20190331,2018,CVCO,149568107,CAVCO INDUSTRIES INC,3,462.049,725.216,58.2093,187.37,752.342,9.098,20.597,14.618,0,86.238,4.65,210.404,544.206,116.203,174.008,195.628,68.622,91.388,280.05,85.993,962.746,529.588,3.444,1069.2879,117.53,2452
2884,20191231,2019,CTL,156700106,CENTURYLINK INC,12,4768,64742,12.3571,1690,10077,1090.058,2716,33736,,3780,42.5,12324,47206,105,7258,51272,-5269,57111,-9494,2336,22401,13470,2093,14399.6662,13.21,4813
2940,20191231,2019,MGLN,559079207,MAGELLAN HEALTH INC,12,1673.043,3092.173,56.7674,325.249,6932.257,24.623,16.702,724.542,0,95.657,10.1,227.166,2122.325,44.962,910.147,1694.39,55.902,896.266,1475.351,892.296,7159.423,1397.783,36.153,1926.7498,78.25,8741
2968,20191231,2019,JPM,46625H100,JPMORGAN CHASE & CO,12,,2687379,75.9842,21704,32380,3084.021,262878,261720,12484,63197,256.981,110042,523050,7451,,2426049,36431,,224780,939582,142422,261330,,429912.5274,139.4,6020
2991,20191231,2019,CVX,166764100,CHEVRON CORP,12,28329,237428,76.6207,5686,105634,1882.168,4559,26299,8959,100,48.2,34231,171507,5848,26530,92220,2924,330796,169955,13325,139865,144213,817,226820.0657,120.51,2911
3026,20191231,2019,CHD,171340102,CHURCH & DWIGHT INC,12,956.4,6657.4,10.8705,155.7,2219.5,245.416,269.3,1954.2,224.1,850.5,4.8,2138.2,4622,417.4,1092.3,3989.6,615.9,1416.9,4170.7,356.4,4357.7,2667.8,73.6,17262.5614,70.34,2840
3028,20191231,2019,CHDN,171484108,CHURCHILL DOWNS INC,12,221.2,2551,12.8035,96.2,880.3,39.7,9,1491.1,23.4,233.8,0.55,449.4,2002.1,0,301.2,2040,137.5,1572.7,508.3,51.8,1329.7,508.3,70.9,5446.84,137.2,7990
3062,20190531,2018,CTAS,172908105,CINTAS CORP,5,2236.28,7436.662,29.0725,96.645,3406.084,103.284,312.264,2537.507,220.764,1147.944,45,3486.219,5540.228,1118.722,1127.733,4433.941,884.981,3192.364,6652.084,917.595,6892.303,3002.721,102.436,22911.4897,221.83,7200
3121,20190630,2019,CLX,189054109,CLOROX CO/DE,6,1305,5116,4.4476,,3323,125.686,398,2294,503,1107,8.8,2891,2853,512,1440,4557,820,3184,2548,631,6214,559,97,19243.7835,153.11,2842
3138,20191231,2019,COKE,191098102,COCA COLA CONSOLIDATED INC,12,830.276,3126.926,37.0161,9.614,2993.536,9.373,24.427,1145.088,9.369,191.331,16.9,1833.013,1596.204,225.926,622.195,2675.81,11.375,2087.414,266.159,529.634,4826.549,346.952,45.99,2028.4011,284.05,2086
3144,20191231,2019,KO,191216100,COCA-COLA CO,12,20411,86381,4.4348,6480,13273,4280,15528,28627,6845,10541,86.2,23993,49725,3379,26973,65283,8920,20293,52311,3971,37266,18981,946,236898,55.35,2086
3157,20190930,2019,COHR,192479103,COHERENT INC,9,1094.821,2083.169,53.5708,305.833,841.55,23.982,14.863,392.238,0,86.458,5.184,589.09,1676.974,442.53,240.314,798.433,53.825,676.926,1250.178,278.761,1430.64,1284.736,19.122,3686.513,153.72,3826
3170,20191231,2019,CL,194162103,COLGATE-PALMOLIVE CO,12,4179,15034,0.1369,883,5900,854.702,659,7824,1472,3759,34.3,9793,8382,1400,4038,14476,2367,9082,18228,1440,15693,117,193,58837.6857,68.84,2844
3221,20191231,2019,AON,G0403H108,AON PLC,12,16476,29405,14.5411,790,7829,232.1,922,7647,410,2634,50,3184,11096,0,15571,25956,1532,2809,-2779,3200,11013,3375,307,48344.109,208.29,6411
3226,20191231,2019,CMCSA,20030N101,COMCAST CORP,12,25392,263414,18.1694,5500,74684,4553.034,5167,106822,3860,21305,190,34258,192068,0,30292,178168,13057,105599,51742,11292,108942,82726,4511,204749.939,44.97,4841
3231,20191231,2019,CMA,200340107,COMERICA INC,12,,73402,51.5637,973,542,142.096,746,6961,398,1937,7.948,3275,14288,17,,66075,1198,,9303,49732,3817,7327,,10195.388,71.75,6020
3238,20191231,2019,CBSH,200525103,COMMERCE BANCSHARES INC,12,,26065.789,26.5659,491.615,153.83,112.35,1850.772,29.442,122.466,684.994,4.835,1285.284,3167.914,14.174,,22927.317,421.231,,312.006,14577.135,1439.114,3134.684,,7633.059,67.94,6020
3243,20191231,2019,C,172967424,CITIGROUP INC,12,,1951158,82.9006,23967,59113,2114.123,309912,214843,5512,40431,200,44336,408789,219207,,1757212,19401,,129051,808005,103449,193242,16530,168897.2865,79.89,6199
3278,20191231,2019,CAR,53774105,AVIS BUDGET GROUP INC,12,2145,23126,8.8769,686,4997,73.9,717,16695,0,787,30,4175,17351,0,2225,22470,302,18659,-942,911,9172,656,546,2382.536,32.24,7510
3336,20190331,2018,DXC,23355L106,DXC TECHNOLOGY CO,3,9066,29574,42.4774,2899,14946,268.425,1942,5470,209,2281,130,5807,17195,0,9453,17849,1257,7137,234,5181,20753,11402,334,17262.4118,64.31,7370
3362,20190531,2018,CAG,205887102,CONAGRA BRANDS INC,5,2733.8,22213.8,15.192,236.6,6489.7,486.085,21.6,10655.7,376.5,1506.9,18,3048.7,18119.4,1571.7,2142.6,14750.1,678.3,5010.1,4937.6,831.7,9538.4,7384.6,389,13012.4955,26.77,2000
3413,20191231,2019,ED,209115104,CONSOLIDATED EDISON INC,12,4272,58079,54.1201,981,8214,333,3203,19336,971,2676,14.89,4360,37549,352,6287,39866,1343,50930,11081,2115,12574,18022,1004,30126.51,90.47,4931
3439,20191231,2019,CMS,125896100,CMS ENERGY CORP,12,2331,26837,17.6775,140,4614,283.864,1229,12064,434,1239,8.789,2231,17119,605,2704,21782,680,26333,-98,1145,6845,5055,523,17838.0138,62.84,4931
3504,20191031,2019,COO,216648402,COOPER COS INC (THE),10,1163.4,6274.5,73.8982,89,733.4,49.1,563.7,1262.6,3,586.5,12,1920,4891.2,506.9,1110.6,2645.9,466.7,2193.9,2579.3,435.3,2653.4,3628.4,73.3,14288.1,291,3851
3505,20191231,2019,TAP,60871R209,MOLSON COORS BEVERAGE CO,12,2184.4,28859.8,62.0407,523.4,5737.7,216.3,974.8,8229,424.4,1500.9,17.7,4841.7,21902.1,615.9,3695.5,15186.7,241.7,7705.6,6454.8,820.3,10579.4,13419.4,289.2,11688.262,53.9,2082
3532,20191231,2019,GLW,219350105,CORNING INC,12,7463,28898,13.9199,2434,5690,762,73,8179,821,1752,49.5,5813,21176,2320,3521,15901,960,28836,15237,1869,11503,12907,275,22181.82,29.11,3679
3570,20190731,2019,CBRL,22410J106,CRACKER BARREL OLD CTRY STOR,7,242.38,1581.225,25.1449,36.884,2528.987,24.049,0,400,194.558,282.844,73,542.964,1004.71,154.958,392.474,976.515,223.401,2312.815,554.737,32.206,3071.951,604.71,16.322,4177.5518,173.71,5812
3650,20191231,2019,CMI,231021106,CUMMINS INC,12,9387,19737,49.8804,1129,16942,150.5,922,1946,761,2505,61.615,6629,10411,3486,6260,11272,2260,9195,12388,3861,23571,7507,123,26933.48,178.96,3510
3708,20191231,2019,WEN,95058W100,WENDY'S CO,12,554.047,4994.529,2.2961,300.195,597.53,224.889,77.53,3636.145,96.364,265.297,13.3,1111.472,4152.504,3.891,349.698,4478.17,136.94,2668.756,131.897,117.461,1709.002,516.359,115.971,4994.7847,22.21,5812
3735,20191231,2019,DHR,235851102,DANAHER CORP,12,25596.6,62081.6,41.1511,19912.3,6737.9,695.5,370.2,22155.8,552.8,3362.4,60,11173.2,52437.7,1628.3,4932.1,31799.7,3008.2,5827.1,21098,3268.4,17911.1,30270.6,108.6,106745.34,153.48,3826
3813,20190131,2018,TGT,8.7612E+110,TARGET CORP,1,12519,41290,21.8189,1556,53049,517.762,1218,12227,1347,4110,360,22307,23524,9497,15014,29993,2937,46185,5212,1100,75356,11297,461,37796.626,73,5331
3835,20191031,2019,DE,244199105,DEERE & CO,10,,73011,36.447,3857,26413,313.14,15105,30229,963,5492,73.489,12845,41660,5975,,61580,3253,22824,24245,40295,39258,11413,1473,54530.1996,174.14,3523
3851,20191231,2019,DAL,247361702,DELTA AIR LINES INC,12,8249,64532,23.8934,2882,34044,642.771,3088,14167,981,6618,91.224,12963,29525,1251,20204,49174,4767,53964,4465,2854,47007,15358,301,37589.2481,58.48,4512
3897,20191231,2019,DTE,233331107,DTE ENERGY CO,12,3086,41882,60.7256,93,9681,192.209,1552,16062,714,1725,10.7,2988,27898,759,3997,30046,1169,35241,6439,1887,12669,11672,656,24962.1828,129.87,4931
3969,20191231,2019,DIOD,254543101,DIODES INC,12,809.959,1639.384,21.6069,258.39,690.802,51.207,59.904,92.084,0,180.169,7.271,558.328,1244.867,236.472,285.322,486.601,153.25,1233.659,681.819,260.322,1249.13,1106.424,7.893,2886.5386,56.37,3674
3980,20190930,2019,DIS,254687106,DISNEY (WALT) CO,9,28124,193984,49.8469,5418,42018,1783,8862,38275,2913,12009,223,27552,141127,6246,31341,91132,11054,64018,35877,15481,69570,88877,1368,232360.56,130.32,4888
4016,20190131,2018,DG,256677105,DOLLAR GENERAL CORP,1,4663.02,13204.038,24.7288,235.487,17367.039,259.511,1.95,2862.74,306.562,2150.106,135,8258.004,9280.133,4097.004,3015.857,6786.645,1589.472,5518.977,2937.9,57.804,25625.043,6417.393,103.571,29955.3547,115.43,5331
4029,20191231,2019,D,25746U109,DOMINION ENERGY INC,12,6088,103823,35.3305,166,8324,838,4132,34266,3085,5593,19.1,8248,68299,1742,9939,69790,1358,97965,5783,2645,16572,31994,1862,69403.16,82.82,4911
4058,20191231,2019,DOV,260003108,DOVER CORP,12,2548.43,8669.477,21.0161,397.253,4234.262,144.302,128.329,3115.092,282.197,1048.662,24,2902.135,6147.752,806.141,1749.891,5636.817,677.918,2391.762,7995.231,1232.084,7136.397,3032.66,125.818,16632.2485,115.26,3585
4060,20191231,2019,DD,26614N102,DUPONT DE NEMOURS INC,12,9999,69396,55.4955,1540,13040,738.565,3968,14033,1611,2788,35,8472,55589,4319,8346,27840,498,15668,-9816,3837,21512,40987,668,47415.873,64.2,2860
4066,20191231,2019,OMC,681919106,OMNICOM GROUP,12,14584.7,26783.4,13.1456,4305.7,12194,217.1,949.4,5898.7,571.2,2122.3,70,2759.7,9479.7,1257.6,15980.9,23202.4,1339.1,3204.5,6608.7,7829,14953.7,2853.9,238,17589.442,81.02,7311
4093,20191231,2019,DUK,26441C204,DUKE ENERGY CORP,12,9163,158838,61.2005,311,14786,733,6484,56417,2776,5745,28.793,10293,104368,3232,14752,110887,3748,149558,3978,3060,25079,46822,2363,66856.93,91.21,4931
4108,20191231,2019,FLS,34354P105,FLOWSERVE CORP,12,2505.37,4919.642,13.716,670.98,2527.855,130.531,47.38,1517.5,100.813,431.529,17,1416.995,3333.459,660.837,1112.888,3103.683,253.668,1771.6,3111.57,1068.452,3944.85,1790.357,54.98,6496.5279,49.77,3561
4145,20191231,2019,PKI,714046109,PERKINELMER INC,12,1374.379,6538.564,25.3178,191.877,1354.994,111.14,46.547,2210.44,30.941,428.609,13,1528.679,5024.264,356.937,762.832,3724.74,227.558,868.856,2612.327,725.184,2883.673,2813.824,63.627,10791.694,97.1,3826
4199,20191231,2019,ETN,G29183103,EATON CORP PLC,12,8728,32805,38.9112,370,13519,413.3,624,8150,1204,2889,101,7871,24283,2805,5132,16672,2211,9142,3880,3538,21390,16082,236,39147.776,94.72,3620
4213,20191231,2019,ECL,278865100,ECOLAB INC,12,4828.4,20869.1,30.1144,186.4,7711.6,288.41,533.8,6398.7,533.1,2263.9,50.2,7194.7,15124.5,1505.6,3630.6,12143.3,1558.9,8597.7,7904,2930.2,14906.3,8685.3,215.1,55660.2459,192.99,2842
4321,20190930,2019,EMR,291011104,EMERSON ELECTRIC CO,9,7139,20497,13.4746,1494,9973,611,1444,4277,1209,3120,88,8399,12550,1880,5976,12224,2306,8671,22477,3441,18372,8233,201,40851.46,66.86,3823
4383,20190930,2019,ATO,49560105,ATMOS ENERGY CORP,9,458.031,13367.619,48.1839,24.55,1764.334,119.339,464.915,3529.452,245.717,746.058,4.776,1137.514,9279.675,136.054,1209.44,7617.396,511.406,14180.593,2037.432,230.571,2901.848,5750.223,110.796,13591.5187,113.89,4924
4423,20191231,2019,EFX,294429105,EQUIFAX INC,12,1209.4,7909,21.2756,401.3,1521.7,121.2,3.1,3379.5,189.6,503.3,11.2,2005.9,6002.4,0,1359.1,5286.1,-398.8,1540.8,3500.2,680.1,3527.6,2578.6,111.7,16982.544,140.12,7323
4439,20191231,2019,ERIC,294821608,TELEFONAKTIEBOLAGET LM ERICS,12,16475.547,29585.1,,4825.43,14506.046,3314,1255.196,3837.736,,2291.488,99.417,9816.029,12602.271,3303.694,12504.756,20820.565,237.958,,,6073.026,24322.075,8837.433,,,8.78,3663
4494,20191231,2019,EXPD,302130109,EXPEDITORS INTL WASH INC,12,2769.923,3691.884,12.9407,1230.491,7127.455,169.622,65.367,326.347,170.553,766.692,18,1047.971,2523.566,0,1168.318,1494.665,590.395,1368.285,2190.129,1446.874,8175.426,2195.028,,13233.9084,78.02,4731
4503,20191231,2019,XOM,30231G102,EXXON MOBIL CORP,12,50052,362597,45.2645,3089,211152,4234,21804,30963,14652,12766,74.9,44431,229901,18528,63989,163659,14340,493335,401848,26966,255583,191650,1561,295448.52,69.78,2911
